cpf,transaction_description,transaction_date,points_value,monetary_value,status
9.854.145-55,Compra supermercado,2024-05-24,149,24.23,pending
11.484.753-50,Compra online,2024-10-30,168,74.36,rejected
11.884.105-40,Estorno parcial,2023-01-04,400,170.22,rejected
9.685.535-20,Pagamento boleto,2024-10-12,350,518.18,pending
13.143.546-14,Compra restaurante,2023-06-03,197,685.56,pending
21.494.547-39,Compra combustivel,2023-08-05,130,539.72,approved
20.810.776-00,Cashback compra,2024-03-13,213,175.29,pending
12.717.129-61,Pagamento boleto,2024-05-12,162,708.22,approved
13.958.858-05,Compra online,2023-03-15,155,104.37,approved
11.497.090-03,Cashback compra,2024-08-22,329,486.38,approved
17.161.435-75,Pagamento servico,2024-08-26,216,682.39,approved
17.193.726-40,Estorno parcial,2023-01-18,162,535.80,rejected
11.003.635-38,Recarga celular,2024-11-21,30,307.83,approved
24.743.467-25,Estorno parcial,2024-11-14,392,448.59,approved
15.314.363-98,Compra restaurante,2024-07-27,31,124.08,pending
15.617.587-50,Pagamento servico,2023-07-20,183,366.12,pending
12.235.967-80,Cashback compra,2023-05-14,385,310.71,approved
11.582.141-63,Cashback compra,2023-03-30,374,715.80,approved
12.616.140-72,Compra vestuario,2025-02-25,205,170.02,pending
9.778.346-44,Estorno parcial,2024-01-06,175,546.25,rejected
15.604.682-43,Compra online,2025-02-12,227,590.22,approved
12.639.353-25,Pagamento servico,2024-01-04,425,238.29,approved
17.639.079-06,Bonus indicacao,2023-12-30,127,190.19,pending
14.333.873-14,Recarga celular,2024-05-14,388,70.70,approved
21.829.670-90,Compra online,2023-07-23,115,237.99,approved
12.366.927-24,Estorno parcial,2023-01-09,492,157.63,pending
15.295.125-95,Compra supermercado,2024-08-31,93,232.56,approved
20.481.696-48,Compra farmacia,2023-04-01,63,277.32,approved
15.764.934-96,Compra vestuario,2024-01-20,86,423.75,approved
15.245.092-74,Compra combustivel,2023-02-08,108,615.88,approved
8.204.628-67,Recarga celular,2024-03-01,155,725.94,rejected
18.482.535-55,Compra farmacia,2024-06-25,453,503.45,pending
12.253.518-49,Bonus indicacao,2024-06-01,54,532.23,rejected
7.313.921-19,Pagamento fatura,2023-02-10,59,130.33,approved
18.947.922-81,Pagamento fatura,2023-07-29,427,766.76,approved
13.952.841-92,Cashback compra,2024-12-31,218,314.80,approved
13.371.653-13,Pagamento servico,2025-01-03,459,76.45,pending
18.455.230-32,Cashback compra,2024-05-13,72,25.92,approved
15.485.048-92,Transferencia PIX,2023-07-27,133,251.43,approved
5.221.925-66,Transferencia PIX,2023-04-28,34,472.41,rejected
10.534.841-72,Cashback compra,2024-05-21,487,387.98,pending
7.528.523-33,Pagamento servico,2025-04-23,49,740.53,approved
12.530.488-26,Cashback compra,2023-05-14,219,534.19,rejected
12.216.138-42,Bonus indicacao,2024-10-20,413,761.76,approved
10.314.292-60,Pagamento servico,2024-12-05,112,264.75,rejected
14.679.772-79,Estorno parcial,2024-10-23,436,725.61,pending
11.149.491-45,Cashback compra,2023-12-20,92,797.77,pending
10.375.465-85,Compra farmacia,2023-06-14,164,503.35,approved
13.827.638-26,Compra vestuario,2025-04-23,406,90.81,approved
8.502.882-86,Compra restaurante,2023-07-25,426,477.87,approved
9.702.685-59,Compra supermercado,2024-04-23,151,477.28,approved
17.310.212-15,Compra restaurante,2024-08-28,292,652.78,pending
7.029.596-39,Transferencia PIX,2024-11-30,242,669.31,pending
18.944.380-10,Pagamento servico,2024-10-22,229,528.33,pending
0.059.009-27,Pagamento servico,2024-04-14,112,110.18,rejected
18.406.258-90,Assinatura streaming,2024-03-04,394,719.32,approved
2.498.563-24,Pagamento boleto,2025-04-15,275,306.09,approved
10.586.648-66,Pagamento boleto,2024-08-17,414,345.51,approved
17.161.397-14,Pagamento fatura,2024-05-20,314,482.08,pending
6.521.887-97,Pagamento fatura,2024-09-19,390,240.40,pending
15.017.966-59,Cashback compra,2025-02-12,432,564.13,approved
24.839.894-96,Cashback compra,2023-09-04,432,99.12,pending
18.834.854-54,Recarga celular,2023-03-10,68,571.12,approved
12.212.695-92,Estorno parcial,2023-05-26,319,542.62,approved
14.540.463-14,Compra combustivel,2023-01-19,36,668.24,approved
13.241.673-99,Compra combustivel,2023-11-07,427,389.63,approved
19.109.118-48,Pagamento servico,2023-02-15,89,209.15,rejected
17.146.096-92,Compra vestuario,2023-01-24,407,704.32,approved
8.572.139-22,Compra farmacia,2024-12-15,214,66.39,rejected
11.422.723-13,Assinatura streaming,2024-11-10,320,402.37,rejected
5.900.475-33,Estorno parcial,2024-09-01,118,438.10,rejected
22.632.790-78,Transferencia PIX,2024-10-22,30,796.95,pending
10.809.242-31,Estorno parcial,2023-01-10,39,196.55,approved
6.698.333-60,Pagamento boleto,2023-07-19,237,704.66,approved
20.467.197-68,Bonus indicacao,2024-06-10,322,793.05,pending
19.658.615-47,Bonus indicacao,2025-01-02,445,66.43,pending
18.006.524-80,Pagamento boleto,2024-04-19,242,726.54,pending
14.854.645-43,Pagamento servico,2024-03-22,34,222.64,pending
15.676.845-65,Pagamento fatura,2023-04-04,161,715.34,approved
18.353.223-66,Pagamento servico,2023-12-25,369,260.03,approved
15.187.288-47,Pagamento boleto,2025-02-25,395,555.47,approved
15.900.081-97,Pagamento boleto,2024-03-23,129,633.56,approved
13.455.980-89,Recarga celular,2023-04-03,397,357.57,approved
7.100.643-92,Compra online,2024-01-24,215,696.16,pending
25.532.925-71,Transferencia PIX,2024-09-04,313,381.65,approved
19.435.501-18,Pagamento fatura,2024-04-09,192,641.50,approved
10.540.781-75,Compra vestuario,2023-10-31,236,152.74,pending
15.527.669-43,Compra farmacia,2023-08-16,177,147.54,pending
22.552.994-89,Compra farmacia,2025-04-13,395,542.81,pending
7.912.537-54,Transferencia PIX,2023-03-22,498,419.36,pending
15.403.171-42,Compra online,2024-12-04,307,643.08,approved
17.900.846-24,Estorno parcial,2024-08-15,166,629.40,pending
3.162.350-25,Transferencia PIX,2024-06-03,441,379.60,approved
18.822.726-13,Estorno parcial,2023-09-01,197,196.69,approved
22.930.940-68,Compra supermercado,2023-07-18,68,215.10,approved
15.790.397-49,Compra farmacia,2023-09-15,211,676.27,approved
18.987.461-38,Bonus indicacao,2023-03-08,200,700.01,pending
14.300.002-84,Compra vestuario,2023-04-17,167,392.01,pending
10.128.898-36,Compra restaurante,2024-09-04,51,175.74,pending
23.634.618-92,Recarga celular,2025-01-06,244,192.12,rejected
14.187.011-19,Bonus indicacao,2023-11-06,488,777.03,approved
20.257.341-02,Pagamento fatura,2023-07-02,181,555.23,pending
7.742.600-01,Compra online,2024-03-28,257,601.14,pending
22.065.401-72,Cashback compra,2023-11-07,102,103.17,pending
12.754.841-07,Compra vestuario,2024-08-24,43,681.15,approved
7.071.451-40,Recarga celular,2024-10-18,416,599.87,rejected
26.455.021-41,Compra vestuario,2025-02-16,366,154.37,approved
6.285.294-01,Pagamento servico,2023-04-17,103,515.13,approved
13.429.212-47,Pagamento boleto,2024-08-02,303,273.31,approved
20.040.018-48,Compra online,2024-11-28,150,214.24,pending
21.990.410-72,Estorno parcial,2024-09-05,64,256.81,approved
10.825.505-99,Compra combustivel,2024-03-26,490,88.94,pending
17.591.352-99,Transferencia PIX,2024-08-12,309,362.18,approved
16.886.739-44,Cashback compra,2025-04-01,434,157.17,approved
11.104.548-82,Recarga celular,2023-07-05,443,629.65,pending
9.092.000-01,Compra combustivel,2023-01-13,76,138.77,pending
18.448.777-01,Compra restaurante,2023-10-20,179,74.42,pending
4.971.256-43,Assinatura streaming,2023-08-31,95,227.62,approved
15.906.517-97,Compra farmacia,2025-01-27,352,574.42,rejected
23.645.979-38,Compra online,2024-05-02,492,439.99,pending
13.411.188-16,Compra farmacia,2025-04-11,297,730.75,pending
24.894.892-76,Pagamento servico,2024-09-24,289,258.25,pending
21.633.859-11,Pagamento boleto,2024-07-16,400,725.77,approved
3.714.733-52,Compra vestuario,2024-12-15,362,496.11,rejected
8.126.064-84,Compra vestuario,2024-10-13,217,567.60,approved
10.630.214-00,Compra vestuario,2023-10-17,314,376.17,pending
12.964.387-13,Compra farmacia,2025-04-04,155,558.44,pending
17.452.366-97,Compra vestuario,2023-09-15,325,146.15,pending
18.700.561-52,Compra combustivel,2025-04-18,483,627.35,pending
2.360.637-81,Pagamento boleto,2024-10-21,360,38.92,approved
10.470.996-06,Compra vestuario,2023-07-12,377,510.63,pending
17.904.547-85,Compra farmacia,2024-09-28,233,288.31,pending
17.593.975-44,Compra restaurante,2024-02-05,91,414.45,approved
9.507.596-95,Compra restaurante,2024-12-24,469,29.66,rejected
5.249.521-56,Cashback compra,2023-03-15,308,426.72,rejected
